Firma,Nazwisko lub nazwa,Nazwisko drugi człon,Imię pierwsze,Imię drugie,Funkcja
WABCO POLSKA SP Z O O,ZYGMAŃSKI,,DARIUSZ,,CZŁONEK ZARZĄDU
WABCO POLSKA SP Z O O,WOŹNICA,,KAZIMIERZ,,CZŁONEK ZARZĄDU
WABCO POLSKA SP Z O O,OBUSZYŃSKI,,JACEK,,CZŁONEK ZARZĄDU
WABCO POLSKA SP Z O O,WĄSOWSKA,,MAŁGORZATA,,CZŁONEK ZARZĄDU
WABCO POLSKA SP Z O O,TCHIR,,JAROSŁAW,,CZŁONEK ZARZĄDU
VIBRACOUSTIC POLSKA SP Z O O,WERSEL,,AXEL,,CZŁONEK ZARZĄDU
VIBRACOUSTIC POLSKA SP Z O O,BASSEN,,EDGAR,,CZŁONEK ZARZĄDU
MACO PRODUCTIONS POLONIA SP Z O O,GRZYMSKI,,PRZEMYSŁAW,,CZŁONEK ZARZĄDU
MACO PRODUCTIONS POLONIA SP Z O O,HERNU,,CAROLINE,,PREZES ZARZĄDU
3M WROCŁAW SP Z O O,KAWALA,,DOMINIKA,LIDIA,CZŁONEK ZARZĄDU
VOSS AUTOMOTIVE POLSKA SP Z O O,TELĄŻKA,,WITOLD,CZESŁAW,CZŁONEK ZARZĄDU
VOSS AUTOMOTIVE POLSKA SP Z O O,NIEMIEC,,JANUSZ,,PREZES ZARZĄDU
GOTEC POLSKA SP Z O O,GORSCHLUTER,,LARS,,CZŁONEK ZARZĄDU
GOTEC POLSKA SP Z O O,CÖLLEN,,PETER,,CZŁONEK ZARZĄDU
GOTEC POLSKA SP Z O O,SCHULTE,,FELIX,,CZŁONEK ZARZĄDU
GOTEC POLSKA SP Z O O,GORSCHLÜTER,,JÖRG,,PREZES ZARZĄDU
GOTEC POLSKA SP Z O O,WINTER,,STEPHAN,,CZŁONEK ZARZĄDU
GOTEC POLSKA SP Z O O,BARTNICKI,,KRZYSZTOF,,WICEPREZES ZARZĄDU
MCCAIN POLAND SP Z O O,WŁODARCZYK,,AGATA,BARBARA,CZŁONEK ZARZĄDU
MCCAIN POLAND SP Z O O,VAN DEN BEMD,,HENRICUS,ANTONIUS MARIA,CZŁONEK ZARZĄDU
MCCAIN POLAND SP Z O O,PARDON,,ERWIN,HENDRIK,CZŁONEK ZARZĄDU
MCCAIN POLAND SP Z O O,VAN DURME,,STEVEN,,CZŁONEK ZARZĄDU
MCCAIN POLAND SP Z O O,SKÓRZEWSKI,,TOMASZ,,CZŁONEK ZARZĄDU
MCCAIN POLAND SP Z O O,BOCZAR,,KRZYSZTOF,,CZŁONEK ZARZĄDU
ZAKŁAD AUTOMATYKI PRZEMYSŁOWEJ INTEC SP Z O O,CZECZENIKOW,,PIOTR,SERGIUSZ,WICEPREZES ZARZĄDU
ZAKŁAD AUTOMATYKI PRZEMYSŁOWEJ INTEC SP Z O O,SZUL,,PIOTR,EUGENIUSZ,PREZES ZARZĄDU
ZAKŁAD AUTOMATYKI PRZEMYSŁOWEJ INTEC SP Z O O,LAWRENZ,,ZYGMUNT,LECHOSŁAW,CZŁONEK ZARZĄDU
ZAKŁAD AUTOMATYKI PRZEMYSŁOWEJ INTEC SP Z O O,WAWRZAK,,TOMASZ,STEFAN,CZŁONEK ZARZĄDU
INSS POL SP Z O O,OLEJNIK,,ANDRZEJ,,PREZES ZARZĄDU
INSS POL SP Z O O,REIZER,,LESZEK,,CZŁONEK ZARZĄDU
INSS POL SP Z O O,MIKL,,JOSEF,,CZŁONEK ZARZĄDU
ZEC SERVICE SP Z O O,DREKO,,WIESŁAW,,PREZES ZARZĄDU
PRZEDSIĘBIORSTWO USŁUGOWO PRODUKCYJNE I HANDLOWE COM D SP Z O O,KROSNOWSKI,,ROMAN,PIOTR,PREZES ZARZĄDU
PRZEDSIĘBIORSTWO USŁUGOWO PRODUKCYJNE I HANDLOWE COM D SP Z O O,PODKÓWKA,,HENRYK,,CZŁONEK ZARZĄDU
PRO ASCOBLOC SP Z O O,JASIK,,KRZYSZTOF,ANTONI,WICEPREZES ZARZĄDU
PRO ASCOBLOC SP Z O O,WILHELM,,JOHANNES,FRANZ,PREZES ZARZĄDU
ABS BONIFER POLSKA SP Z O O,BONIFER,,ANDREAS,,PREZES ZARZĄDU
ABS BONIFER POLSKA SP Z O O,WARSITZ,,JACEK,ANDRZEJ,ZASTĘPCA PREZESA ZARZĄDU
ABS BONIFER POLSKA SP Z O O,BONIFER,,STEFAN,,ZASTĘPCA PREZESA ZARZĄDU
ENDRESS + HAUSER POLSKA SP Z O O,SIECZKA,,MACIEJ,,PREZES ZARZĄDU
VOESTALPINE ROTEC SP Z O O,RUSHALL,,PHILIP,,CZŁONEK ZARZĄDU
INTEGART SP Z O O,KOT ZANIEWSKI,ZANIEWSKI,SŁAWOMIR,TADEUSZ,PREZES ZARZĄDU
INTEGART SP Z O O,SWARD KOT,KOT,JOANNA,KALINA,WICEPREZES
INTEGART SP Z O O,KORNASZ,,DAWID,,CZŁONEK ZARZĄDU
INTEGART SP Z O O,MELZACKI,,TOMASZ,,CZŁONEK ZARZĄDU
T & P POLSKA SP Z O O,OKARMA,,MARZENA,,PRZEWODNICZĄCY ZARZĄDU
T & P POLSKA SP Z O O,MAĆKOWIAK,,KONRAD,,SKARBNIK ZARZĄDU
VIESSMANN TECHNIKA GRZEWCZA SP Z O O,FINGERHUT,,ARNDT,,WICEPREZES
VIESSMANN TECHNIKA GRZEWCZA SP Z O O,TOMCZAK,,TOMASZ,,PREZES
DOLNOŚLĄSKA GRUPA APTECZNA S A,DURAJ,,MAŁGORZATA,,PREZES ZARZĄDU
KRAJOWY REJESTR DŁUGÓW BIURO INFORMACJI GOSPODARCZEJ S A,ŁĄCKI,,ADAM,WOJCIECH,PREZES ZARZĄDU
KRAJOWY REJESTR DŁUGÓW BIURO INFORMACJI GOSPODARCZEJ S A,KOSTECKI,,JAKUB,,WICEPREZES ZARZĄDU
KRAJOWY REJESTR DŁUGÓW BIURO INFORMACJI GOSPODARCZEJ S A,AMELJAN,,MACIEJ,KONRAD,WICEPREZES ZARZĄDU
ZAKŁADY CHEMICZNE ZŁOTNIKI S A,PUŁACZEWSKI,,GRZEGORZ,,PREZES ZARZĄDU
INDUSTRIE MAURIZIO PERUZZO COMFORT SP Z O O,GIACOBBO PERUZZO,PERUZZO,CRISTINA,,PREZES ZARZĄDU
INDUSTRIE MAURIZIO PERUZZO COMFORT SP Z O O,BAŚCIK,,MARTA,,WICEPREZES ZARZĄDU
INDUSTRIE MAURIZIO PERUZZO COMFORT SP Z O O,GIACOBBO PERUZZO,PERUZZO,MASSIMILIANO,,WICEPREZES ZARZĄDU
WAGO ELWAG SP Z O O,KOWNACKI,,MICHAŁ,,CZŁONEK ZARZĄDU
WAGO ELWAG SP Z O O,KOŹMIŃSKI,,PIOTR,MAREK,CZŁONEK ZARZĄDU
GLOBAL COSMED GROUP S A,MIELIMONKA,,MAGDALENA,ANITA,PREZES ZARZĄDU
GLOBAL COSMED GROUP S A,CZAJKA,,MICHAŁ,GRZEGORZ,CZŁONEK ZARZĄDU
TELFORCEONE S A,SAWICKI,,SEBASTIAN,ALEKSANDER,PREZES ZARZĄDU
TELFORCEONE S A,ŻYWICKI,,WIESŁAW,MAREK,WICEPREZES ZARZĄDU
TELFORCEONE S A,KOWALSKI,,ADAM,,CZŁONEK ZARZĄDU
ZEHNDER GROUP BOLESŁAWIEC SP Z O O,KOŚCISZ,,PIOTR,MIECZYSŁAW,CZŁONEK ZARZĄDU
ZEHNDER GROUP BOLESŁAWIEC SP Z O O,JANKOWSKI,,ADAM,WIESŁAW,CZŁONEK ZARZĄDU
ZEHNDER GROUP BOLESŁAWIEC SP Z O O,GRIEDER,,RENÉ,,CZŁONEK ZARZĄDU
ZEHNDER GROUP BOLESŁAWIEC SP Z O O,METZGER,,JORG,,CZŁONEK ZARZĄDU
ZEHNDER GROUP BOLESŁAWIEC SP Z O O,HUENERWADEL,,MATTHIAS,,CZŁONEK ZARZĄDU
PCE POLSKA SP Z O O,SCHNEEBAUER,,CHRISTIAN,,PREZES ZARZĄDU
DELAVAL SP Z O O,MIKOŚ,,RYSZARD,,PREZES ZARZĄDU
DELAVAL SP Z O O,MIĄCZYŃSKI,,MACIEJ,,CZŁONEK ZARZĄDU
DELAVAL SP Z O O,SZUMNA,,AGNIESZKA,,CZŁONEK ZARZĄDU
SAATBAU POLSKA SP Z O O,KRÓL,,ZYGMUNT,,PREZES ZARZĄDU SPÓŁKI
ATLAS WARD POLSKA SP Z O O,GÓRECKI,,MARIUSZ,FRANCISZEK,PREZES ZARZĄDU
ATLAS WARD POLSKA SP Z O O,KARWAN,,WOJCIECH,,WICEPREZES ZARZĄDU
