Firma,Nazwa,Rejestr,Województwo,Numer KRS,Powiat,NIP,Gmina,REGON,Miejscowość,Forma prawna,Adres,Data wpisu do Rejestru Przedsiębiorców,Kod pocztowy,Data wpisu do Rejestru Stowarzyszeń,Adres WWW,Data wykreślenia z Rejestru Przedsiębiorców,Email,Data wykreślenia z Rejestru Stowarzyszeń,Data uprawomocnienia wykreślenia z KRS,Data przyznania statusu OPP,Data zawieszenia działalności,Data wznowienia działalności,Nazwa organu reprezentacji,Sposób reprezentacji,Status OPP,Wpisy dot. postępowania upadłościowego,Nazwa organu wydającego akt prawny,Sygnatura aktu prawnego,Data wydania aktu prawnego,Określenie sposobu prowadzenia postępowania upadłościowego,Data zakończenia postępowania upadłościowego,Sposób zakończenia postępowania upadłościowego
WABCO POLSKA SP Z O O,ZWIĄZEK ZAWODOWY PRACOWNIKÓW WABCO POLSKA SP. Z O.O.,Rejestr Stowarzyszeń,DOLNOŚLĄSKIE,312065,M. WROCŁAW,,M. WROCŁAW,,WROCŁAW,ZWIĄZEK ZAWODOWY,OSTROWSKIEGO 34,,53-238,2008-08-25 ,,,,,,,,,,"DO SKŁADANIA OŚWIADCZEŃ WOLI W SPRAWACH MAJĄTKOWYCH POZOSTAJĄCYCH W GESTII ZARZĄDU UPRAWNIENI SĄ: PRZEWODNICZĄCY ZWIĄZKU LUB UPOWAŻNIONY PRZEZ NIEGO CZŁONEK ZARZĄDU I SKARBNIK.
DO SKUTECZNEGO ZŁOŻENIA OŚWIADCZENIA WOLI KONIECZNE JEST ŁĄCZNE DZIAŁANIE DWÓCH OSÓB, W TYM SKARBNIKA.",NIE,NIE,,,,,,
VIBRACOUSTIC POLSKA SP Z O O,"""VIBRACOUSTIC POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,23439,ŚREDZKI,5992471744.0,ŚRODA ŚLĄSKA,21096930700000.0,KOMORNIKI,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,POLNA 7,2001-06-27,55-300, ,,,,,,,,,,"W ZARZĄDZIE WIELOOSOBOWYM: 
DWÓCH CZŁONKÓW ZARZĄDU ŁĄCZNIE LUB JEDEN CZŁONEK ZARZĄDU ŁĄCZNIE Z PROKURENTEM
W ZARZĄDZIE JEDNOOSOBOWYM: 
JEDEN CZŁONEK ZARZĄDU SAMODZIELNIE",NIE,NIE,,,,,,
MACO PRODUCTIONS POLONIA SP Z O O,MACO PRODUCTIONS POLONIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,112451,M. WROCŁAW,7792176987.0,M. WROCŁAW,63429814100000.0,WROCŁAW,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,SZWAJCARSKA 22,2002-05-14,54-405, ,,,,,,,,,,KAŻDY Z CZŁONKÓW ZARZĄDU UPRAWNIONY JEST DO JEDNOOSOBOWEJ REPREZENTACJI,NIE,NIE,,,,,,
3M WROCŁAW SP Z O O,3M WROCŁAW SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,258909,M. WROCŁAW,8951858100.0,M. WROCŁAW,2030880500000.0,WROCŁAW,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,KOWALSKA 143,2006-06-14,51-424, ,,,,,,,,,,JEŻELI ZARZĄD JEST WIELOOSOBOWY DO SKŁADANIA OŚWIADCZEŃ I PODPISYWANIA PISM W IMIENIU SPÓŁKI UPOWAŻNIONY JEST KAŻDY Z CZŁONKÓW ZARZĄDU SAMODZIELNIE.,NIE,NIE,,,,,,
VOSS AUTOMOTIVE POLSKA SP Z O O,"""VOSS AUTOMOTIVE POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ""",Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,206826,LEGNICKI,8971694239.0,LEGNICKIE POLE,93299442400000.0,NOWA WIEŚ LEGNICKA,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,101,2004-05-11,59-241, ,,,,,,,,,,"W PRZYPADKU ZARZĄDU JEDNOOSOBOWEGO - JEDYNY CZŁONEK ZARZĄDU SAMODZIELNIE, W PRZYPADKU ZARZĄDU WIELOOSOBOWEGO - DWÓCH CZŁONKÓW ZARZĄDU ALBO JEDEN CZŁONEK ZARZĄDU ŁĄCZNIE Z PROKURENTEM.",NIE,NIE,,,,,,
GOTEC POLSKA SP Z O O,"""GOTEC POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,88641,ŚREDZKI,9131470455.0,ŚRODA ŚLĄSKA,93209113600000.0,KOMORNIKI,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,POLNA 7,2002-02-05,55-300, ,,,,,,,,,,DO SKŁADANIA OŚWIADCZEŃ I PODPISYWANIA W IMIENIU SPÓŁKI UPRAWNIONY JEST KAŻDY Z CZŁONKÓW ZARZĄDU SAMODZIELNIE.,NIE,NIE,,,,,,
MCCAIN POLAND SP Z O O,"""MCCAIN POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,123561,STRZELIŃSKI,7790041993.0,STRZELIN,1032910000000.0,CHOCIWEL,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,25,2002-07-18,57-100, ,,,,,,,,,,DO SKŁADANIA OŚWIADCZEŃ I PODPISYWANIA W IMIENIU SPÓŁKI UPOWAŻNIONY JEST KAŻDY CZŁONEK ZARZĄDU SAMODZIELNIE.,NIE,NIE,,,,,,
ZAKŁAD AUTOMATYKI PRZEMYSŁOWEJ INTEC SP Z O O,ZAKŁAD AUTOMATYKI PRZEMYSŁOWEJ INTEC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,324450,WROCŁAWSKI,8990102145.0,DŁUGOŁĘKA,93010109500000.0,DŁUGOŁĘKA,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,UL. WROCŁAWSKA 33D,2009-02-25,55-095, ,,,,,,,,,,"DO REPREZENTOWANIA SPÓŁKI I SKŁADANIA W JEJ IMIENIU OŚWIADCZEŃ WOLI , W PRZYPADKU ZARZĄDU JEDNOOSOBOWEGO, UPOWAŻNIONY JEST KAŻDY CZŁONEK ZARZĄDU DZIAŁAJĄCY SAMODZIELNIE.
DO REPREZENTOWANIA SPÓŁKI I SKŁADANIA W JEJ IMIENIU OŚWIADCZEŃ WOLI, W PRZYPADKU ZARZĄDU WIELOOSOBOWEGO, UPOWAŻNIONY JEST PREZES ZARZĄDU I WICEPREZES ZARZĄDU - SAMODZIELNIE, A POZOSTALI CZŁNKOWIE ZARZĄDU - ŁĄCZNIE Z INNYM CZŁONKIEM ZARZĄDU LUB PROKURENTEM SAMOISTNYM ALBO PROKURENTEM ŁĄCZNYM.",NIE,NIE,,,,,,
CAST ANDRUSZKO BUJAK BUJAK MODLIŃSKI SPÓŁKA JAWNA,"CAST - ANDRUSZKO,BUJAK,BUJAK,MODLIŃSKI SPÓŁKA JAWNA",Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,97293,ŚWIDNICKI,8842294236.0,ŚWIEBODZICE,89106193900000.0,ŚWIEBODZICE,SPÓŁKA JAWNA,WODNA 18,2002-03-06,58-160, ,,2019-03-21,,,2019-04-04,,,,,,NIE,NIE,,,,,,
INSS POL SP Z O O,"""INSS - POL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,49936,WROCŁAW,8991010853.0,WROCŁAW,93044919000000.0,WROCŁAW,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,UL. MIĘDZYLESKA 6A,2001-10-03,50-514, ,,,,,,,,,,"DO SKŁADANIA OŚWIADCZEŃ WOLI I PODPISYWANIA W IMIENIU SPÓŁKI UPRAWNIONY JEST PREZES JEDNOOSOBOWO BEZ OGRANICZEŃ, ZAŚ WICEPREZES I CZŁONKOWIE ZARZĄDU WSPÓLNIE Z PREZESEM LUB INNYM CZŁONKIEM ZARZĄDU LUB PEŁNOMOCNIKIEM - PROKURENTEM.",NIE,NIE,,,,,,
